,0,1,2,3,4,5
0,-6.504717243533378e-19,-2.096708948057963e+34,9.860848301844608e-32,-35389.24609375,-1.9531800868616667e+34,-4.882950217154167e+35
1,-6.504717243533378e-19,-2.7305342481720776e+34,-1.084211736761337e-19,-35389.2421875,-2.24839868548468e+34,-5.6209967137117e+35
2,-3.5525106026513967e-15,-1563375960064.0,9.949219096706201e-44,131072.0,-1.4989324569897868e+34,-3.747331142474467e+35
3,-6.504784451958148e-19,-4.098296276750172e+17,9.949219096706201e-44,131072.0,-1.12419934274234e+34,-2.81049835685585e+35
4,-2.1826434756788693e-11,-2.951489860432634e+23,9.949219096706201e-44,131072.0,-8.99359474199371e+33,-2.2483986854984276e+35
5,-3.5525381312221825e-15,-2.3520974083217814e+29,9.949219096706201e-44,131072.0,-7.494698803096334e+33,-1.8736747007740835e+35
6,-6.504784451958148e-19,-1.687508363248196e+35,9.949219096706201e-44,131072.0,-2.8881042754729286e+34,-7.220260688682322e+35
7,-2.1826434756788693e-11,8.338696682308746e-38,1.0089348943138683e-43,131072.0,-2.5270912410388125e+34,-6.317728102597031e+35
8,-6.504784451958148e-19,7.41035082589476e-35,1.0089348943138683e-43,131072.0,-2.2463033253678335e+34,-5.615758313419584e+35
9,-6.504784451958148e-19,6.432641279083892e-32,1.0089348943138683e-43,131072.0,-2.02167299283105e+34,-5.054182482077625e+35
10,-3.5525381312221825e-15,5.403733311950388e-29,1.0089348943138683e-43,131072.0,-1.8378845389373181e+34,-4.594711347343295e+35
11,-6.504784451958148e-19,4.745805694737073e-26,1.0089348943138683e-43,131072.0,-1.684727494025875e+34,-4.211818735064687e+35
12,-6.504784451958148e-19,4.239319571995992e-23,1.0089348943138683e-43,131072.0,-1.5551330714085e+34,-3.88783267852125e+35
13,-3.5525381312221825e-15,3.7057885312831707e-20,1.0089348943138683e-43,131072.0,-1.4440521377364643e+34,-3.610130344341161e+35
14,-3.5525381312221825e-15,3.144206152542664e-17,1.0089348943138683e-43,131072.0,-1.3477819952207e+34,-3.36945498805175e+35
15,-3.5525381312221825e-15,2.6978521142344974e-14,1.0089348943138683e-43,131072.0,-1.2635456205194062e+34,-3.1588640512985155e+35
16,-3.5525381312221825e-15,2.4215400518112773e-11,1.0089348943138683e-43,131072.0,-1.1892194075476764e+34,-2.9730485188691913e+35
17,-3.5525381312221825e-15,2.1304110475739435e-08,-1.0089348943138683e-43,131072.9375,-1.1231516626839167e+34,-2.807879156709792e+35
18,-2.1826434756788693e-11,1.8239130440633744e-05,-1.0089348943138683e-43,-131072.9375,-1.0640384172795e+34,-2.6600960431987498e+35
19,-2.1826209242736816e-11,0.015319880098104477,1.0089348943138683e-43,-131072.0,-1.010836496415525e+34,-2.5270912410388125e+35
20,-3.5525106026513967e-15,13.812557220458984,1.0089348943138683e-43,-131072.0,-9.627014251576428e+33,-2.4067535628941072e+35
21,-3.5525106026513967e-15,12224.05859375,-1.0089348943138683e-43,-35389.234375,-9.189422694686591e+33,-2.2973556736716477e+35
22,-2.1826209242736816e-11,10551356.0,1.0089348943138683e-43,-35389.0,-8.789882577526304e+33,-2.1974706443815756e+35
23,-3.5525106026513967e-15,8791322624.0,1.0089348943138683e-43,-35389.0,-8.423637470129374e+33,-2.1059093675323436e+35
24,-2.1826209242736816e-11,7868411543552.0,1.0089348943138683e-43,-35389.0,-8.0866919713242e+33,-2.02167299283105e+35
25,-3.5525106026513967e-15,7001722257932288.0,2.0000171661376953,-35389.23828125,-7.7756653570425e+33,-1.943916339260625e+35
26,-2.1826209242736816e-11,6.088899681553744e+18,1.0089348943138683e-43,-35389.0,-7.487677751226111e+33,-1.871919437806528e+35
27,-1.1920247544594531e-07,5.128228629488461e+21,2.0000171661376953,-35389.23828125,-7.220260688682151e+33,-1.8050651721705376e+35
28,-0.000732366053853184,4.476820719582993e+24,1.0089348943138683e-43,-131072.953125,-6.971286182032065e+33,-1.7428215455080162e+35
29,-1.1920247544594531e-07,4.0039800234379626e+27,-1.0089348943138683e-43,-131072.9375,-6.738909851634657e+33,-1.6847274629086644e+35
30,-2.1826209242736816e-11,3.505864325143491e+30,1.0089348943138683e-43,-131072.0,-6.521420312141932e+33,-1.6303550780354828e+35
31,-0.000732366053853184,2.981532780837385e+33,-1.0089348943138683e-43,-131072.9375,-6.230831118830932e+33,-1.5577077797077331e+35
32,-2.1826209242736816e-11,2.5442349680615672e+36,1.0089348943138683e-43,-131072.0,6.577831531747575e+34,1.6444578829368937e+36
33,-1.1920247544594531e-07,-9.872399914891915e-39,-1.0089348943138683e-43,-35389.234375,6.384365898460881e+34,1.5960914746152205e+36
34,-2.1826209242736816e-11,-3.2399697569191875e-37,1.0089348943138683e-43,-35389.0,6.2019554442191425e+34,1.5504888610547857e+36
35,-1.1920247544594531e-07,-9.662606611648027e-36,1.0089348943138683e-43,-35389.0,6.029678904101944e+34,1.507419726025486e+36
36,-0.000732366053853184,-2.8663392003694896e-34,1.0089348943138683e-43,-35389.0,5.866714609396486e+34,1.4666786523491215e+36
37,-2.1826209242736816e-11,-8.450061712037153e-33,1.0089348943138683e-43,-35389.0,5.71232738283342e+34,1.428081845708355e+36
38,-0.000732366053853184,-2.4729081545254207e-31,-1.0089348943138683e-43,-35389.234375,5.565857449940256e+34,1.391464362485064e+36
39,-2.1826209242736816e-11,-7.173748995836648e-30,-1.0089348943138683e-43,-35389.234375,5.42671101369175e+34,1.3566777534229373e+36
40,-2.1826209242736816e-11,-2.0589414071014237e-28,1.0089348943138683e-43,-131072.0,5.294352208479755e+34,1.3235880521199388e+36
41,-2.1826209242736816e-11,-6.1468272846414566e-27,1.0089348943138683e-43,-131072.0,5.168296203515952e+34,1.292074050878988e+36
42,-1.1920247544594531e-07,-1.8458156960433187e-25,-1.0089348943138683e-43,-35389.234375,5.048103268550465e+34,1.2620258171376162e+36
43,-2.1826209242736816e-11,-5.518869315204388e-24,1.0089348943138683e-43,-35389.0,4.933373648810682e+34,1.2333434122026705e+36
44,-1.1920247544594531e-07,-1.64196108898245e-22,1.0089348943138683e-43,-35389.0,4.823743123281555e+34,1.2059357808203886e+36
45,-6.504717243533378e-19,-4.857228790718387e-21,1.0089348943138683e-43,-35389.0,4.718879142340652e+34,1.179719785585163e+36
46,-2.1826209242736816e-11,-1.4272582709417388e-19,-1.0089348943138683e-43,-35389.234375,4.618477458461063e+34,1.1546193646152658e+36
47,-2.1826209242736816e-11,-4.1606506523315e-18,1.0089348943138683e-43,-131072.953125,4.522259178076458e+34,1.1305647945191143e+36
48,-2.1826209242736816e-11,-1.2013039480478194e-16,1.0089348943138683e-43,-131072.0,4.429968174442245e+34,1.1074920436105613e+36
49,-2.1826209242736816e-11,-3.4902763391595447e-15,-1.0089348943138683e-43,-131072.9375,4.3413688109534e+34,1.0853422027383499e+36
50,-3.5525106026513967e-15,-1.0502750470535449e-13,1.0089348943138683e-43,-131072.0,4.256243932307255e+34,1.0640609830768138e+36
51,-2.1826209242736816e-11,-3.1477173298433136e-12,1.0089348943138683e-43,-131072.0,4.174393087455192e+34,1.043598271863798e+36
52,-2.1826209242736816e-11,-9.390574429168907e-11,1.0089348943138683e-43,-35389.0,4.0956309537296223e+34,1.0239077384324056e+36
53,-3.5525106026513967e-15,-2.7867050889085476e-09,1.0089348943138683e-43,-35389.0,4.0197859360679625e+34,1.0049464840169905e+36
54,-2.1826209242736816e-11,-8.218964353545744e-08,1.0089348943138683e-43,-35389.0,3.946698919048545e+34,9.866747297621363e+35
55,-3.5525106026513967e-15,-2.406551175226923e-06,1.0089348943138683e-43,-35389.0,3.876222152636964e+34,9.69055538159241e+35
56,-3.5525106026513967e-15,-6.985708023421466e-05,-1.0089348943138683e-43,-35389.234375,3.8082182552222803e+34,9.520545638055701e+35
57,-2.1826209242736816e-11,-0.0020065447315573692,1.0089348943138683e-43,-35389.0,3.7425593197874136e+34,9.356398299468534e+35
