,0,1,2,3,4,5
0,7853004.0,0.0,24.8799991607666,0.018920890986919403,0.0,0.0
1,7858004.0,0.03125,24.8799991607666,0.019683830440044403,0.014555400684239304,0.3638850171059826
2,7863004.0,0.015625,24.8799991607666,0.018157951533794403,0.014555400684239305,0.36388501710598264
3,108396.0,0.0,-200.0,0.020446769893169403,0.010916550513179479,0.272913762829487
4,113004.0,0.0,-200.0,0.018920890986919403,0.008733240410543583,0.2183310102635896
5,118004.0,0.0,-200.0,0.019683830440044403,0.007277700342119653,0.18194250855299132
6,123004.0,0.0,-200.0,0.018920890986919403,0.006238028864673987,0.1559507216168497
7,128004.0,0.0,-200.0,0.019683830440044403,0.005458275256589739,0.1364568814147435
8,133004.0,0.0,-200.0,0.018920890986919403,0.0048518002280797685,0.12129500570199421
9,138004.0,0.0,-200.0,0.018920890986919403,0.004366620205271792,0.1091655051317948
10,143004.0,0.0,-200.0,0.021209709346294403,0.003969654732065265,0.09924136830163162
11,148004.0,0.0,-200.0,0.019683830440044403,0.0036388501710598264,0.09097125427649566
12,153004.0,0.0,-200.0,0.020446769893169403,0.0033589386194398394,0.08397346548599599
13,158004.0,0.0,-200.0,0.020446769893169403,0.0031190144323369937,0.07797536080842485
14,163004.0,0.0,-200.0,0.018920890986919403,0.002911080136847861,0.07277700342119653
15,168004.0,0.0,-200.0,0.019683830440044403,0.0027291376282948697,0.06822844070737175
16,173004.0,0.0,-200.0,0.019683830440044403,0.0025686001207481128,0.06421500301870282
17,178004.0,0.0,-200.0,0.019683830440044403,0.0024259001140398842,0.060647502850997105
18,183004.0,0.015625,-200.0,0.018157951533794403,0.0030642948808924848,0.07660737202231212
19,188004.0,0.0,25.0,0.021209709346294403,0.0029110801368478607,0.07277700342119651
20,193004.0,0.0,25.0,0.019683830440044403,0.0027724572731884388,0.06931143182971097
21,198004.0,0.0,25.0,0.019683830440044403,0.00264643648804351,0.06616091220108776
22,203004.0,0.0,25.0,0.019683830440044403,0.002531374032041618,0.06328435080104045
23,208004.0,0.0,25.0,0.020446769893169403,0.002425900114039884,0.06064750285099709
24,213004.0,0.03125,25.0,0.019683830440044403,0.003493296164217433,0.08733240410543583
25,218004.0,0.015625,25.0,0.019683830440044403,0.0039187617226798125,0.0979690430669953
26,223004.0,0.0625,25.0,0.020446769893169403,0.0059299780565419385,0.14824945141354845
27,228004.0,0.015625,24.8799991607666,0.020446769893169403,0.0062380288646739866,0.15595072161684967
28,233004.0,0.0,24.8799991607666,0.019683830440044403,0.006022924421064539,0.15057311052661349
29,238004.0,0.0,24.8799991607666,0.019683830440044403,0.005822160273695721,0.14555400684239303
30,243004.0,0.0,24.8799991607666,0.020446769893169403,0.005634348651963601,0.14085871629909003
31,248004.0,0.0,24.8799991607666,0.021209709346294403,0.0054582752565897385,0.13645688141474346
32,253004.0,0.015625,24.8799991607666,0.020446769893169403,0.0057339457240942705,0.14334864310235676
33,258004.0,0.0,24.8799991607666,0.019683830440044403,0.005565300261620909,0.13913250654052273
34,263004.0,0.0,25.0,0.021209709346294403,0.005406291682717455,0.1351572920679364
35,268004.0,0.0,25.0,0.019683830440044403,0.005256116913753082,0.13140292284382704
36,273004.0,0.0,25.0,0.021209709346294403,0.005114059699867863,0.12785149249669658
37,278004.0,0.0,25.0,0.020446769893169403,0.004979479181450287,0.12448697953625719
38,283004.0,0.015625,25.0,0.019683830440044403,0.00522501563023975,0.13062539075599375
39,288004.0,0.046875,24.8799991607666,0.019683830440044403,0.006186045290801703,0.15465113227004257
40,293004.0,0.0,24.8799991607666,0.019683830440044403,0.006035166137367516,0.1508791534341879
41,298004.0,0.0,24.8799991607666,0.018920890986919403,0.005891471705525432,0.1472867926381358
42,303004.0,0.015625,24.8799991607666,0.019683830440044403,0.006092958425960638,0.15232396064901596
43,308004.0,0.0,24.8799991607666,0.019683830440044403,0.005954482098097897,0.14886205245244744
44,313004.0,0.0,24.8799991607666,0.019683830440044403,0.005822160273695721,0.14555400684239303
45,318004.0,0.0,24.8799991607666,0.019683830440044403,0.0056955915720936405,0.14238978930234103
46,323004.0,0.015625,25.0,0.020446769893169403,0.005884098148947804,0.1471024537236951
47,328004.0,0.015625,25.0,0.020446769893169403,0.006064750285099711,0.15161875712749276
48,333004.0,0.0,25.0,0.021209709346294403,0.005940979871118084,0.1485244967779521
49,338004.0,0.0,25.0,0.018920890986919403,0.005822160273695722,0.14555400684239306
50,343004.0,0.015625,25.0,0.018920890986919403,0.005993400281745597,0.14983500704363992
51,348004.0,0.015625,25.0,0.020446769893169403,0.006158054135639707,0.15395135339099267
52,353004.0,0.015625,25.0,0.018920890986919403,0.006316494636556681,0.15791236591391702
53,358004.0,0.046875,25.0,0.019683830440044403,0.007008155885004112,0.1752038971251028
54,363004.0,0.0,25.0,0.020446769893169403,0.0068807348689131275,0.1720183717228282
55,368004.0,0.0,25.0,0.019683830440044403,0.006757864603396822,0.16894661508492057
56,373004.0,0.0,25.0,0.018920890986919403,0.0066393055752670535,0.16598263938167634
57,378004.0,0.0,25.0,0.020446769893169403,0.0065248347894865865,0.16312086973716466
58,383004.0,0.015625,25.0,0.019683830440044403,0.006660946075838328,0.1665236518959582
59,388004.0,0.015625,25.0,0.019683830440044403,0.0067925203193116785,0.16981300798279197
60,393004.0,0.0,25.0,0.021209709346294403,0.0066811675271918145,0.16702918817979537
61,398004.0,0.03125,25.0,0.021209709346294403,0.007042935814954504,0.17607339537386263
62,403004.0,0.0,25.0,0.021209709346294403,0.0069311431829711,0.1732785795742775
